Opponent/Game	Category	Start	Click	End	XY	Attacking Player	Shot Origin	Shot Outcome	Shot Location	Defending Player
Korea	Shot Opponent	35:01	35:06	35:18	Scrimmage 1 April 29 2026	Player 1	3	Goal Opponent	2.5	Cassandra
Korea	Shot Canada	35:20	35:25	35:39	Scrimmage 1 April 29 2026	Meghan	3	Opponent Save	4.5	Away Player 9
Korea	Shot Opponent	35:34	35:39	35:44	Scrimmage 1 April 29 2026	Away Player 9	4	Canada Ball Control Save	1	Meghan
Korea	Shot Canada	35:39	35:44	35:58	Scrimmage 1 April 29 2026	Meghan	1	Canada Out	6	
Korea	Shot Opponent	35:54	35:59	36:08	Scrimmage 1 April 29 2026	Away Player 9	5	Canada Ball Control Save	2	Meghan
Korea	Shot Canada	36:04	36:09	36:15	Scrimmage 1 April 29 2026	Florinda	5	Opponent Save	2.5	Player 1
Korea	Shot Opponent	36:10	36:15	36:26	Scrimmage 1 April 29 2026	Ahmad	1	Goal Opponent	5	Florinda
Korea	Shot Canada	36:26	36:31	36:38	Scrimmage 1 April 29 2026	Florinda	5	Opponent Save	1	Ahmad
Korea	Shot Opponent	36:33	36:38	36:54	Scrimmage 1 April 29 2026	Ahmad	1	Goal Opponent	3.5	Cassandra
Korea	Shot Canada	36:54	36:59	37:11	Scrimmage 1 April 29 2026	Meghan	2	Opponent Save	4	Away Player 9
Korea	Shot Opponent	37:07	37:12	37:20	Scrimmage 1 April 29 2026	Away Player 9	5	Canada Ball Control Save	2	Meghan
Korea	Shot Canada	37:16	37:21	37:30	Scrimmage 1 April 29 2026	Meghan	1	Opponent Save	3.5	Player 1
Korea	Shot Opponent	37:26	37:31	37:36	Scrimmage 1 April 29 2026	Ahmad	3	Canada Save	3	Cassandra
Korea	Shot Canada	37:31	37:36	37:45	Scrimmage 1 April 29 2026	Florinda	4	Opponent Save	4.5	Away Player 9
Korea	Shot Opponent	37:41	37:46	37:55	Scrimmage 1 April 29 2026	Away Player 9	5	Canada Save	4	Florinda
Korea	Shot Canada	37:51	37:56	38:03	Scrimmage 1 April 29 2026	Florinda	5	Opponent Save	2.5	Player 1
Korea	Shot Opponent	37:59	38:04	38:25	Scrimmage 1 April 29 2026	Ahmad	2	Goal Opponent	3	Cassandra
Korea	Shot Canada	38:20	38:25	38:35	Scrimmage 1 April 29 2026	Florinda	4	Opponent Save	2	Player 1
Korea	Shot Opponent	38:31	38:36	38:41	Scrimmage 1 April 29 2026					
Korea	Shot Canada	38:33	38:38	38:52	Scrimmage 1 April 29 2026	Meghan	5	Opponent Save	2	Ahmad
Korea	Shot Opponent	38:48	38:53	38:59	Scrimmage 1 April 29 2026	Away Player 9	4	Canada Ball Control Save	2	Meghan
Korea	Shot Canada	38:54	38:59	39:08	Scrimmage 1 April 29 2026	Meghan	1	Opponent Save	5	Away Player 9
Korea	Shot Opponent	39:04	39:09	39:14	Scrimmage 1 April 29 2026	Away Player 9	5	Opponent Out	0	
Korea	Shot Canada	39:25	39:30	39:36	Scrimmage 1 April 29 2026	Elena	1	Opponent Save	5	Away Player 9
Korea	Shot Opponent	39:32	39:37	39:44	Scrimmage 1 April 29 2026	Away Player 9	5	Canada Ball Control Save	1	Elena
Korea	Shot Canada	39:40	39:45	39:54	Scrimmage 1 April 29 2026	Elena	1	Opponent Save	3	Player 1
Korea	Shot Opponent	39:49	39:54	40:09	Scrimmage 1 April 29 2026	Ahmad	2	Goal Opponent	3	Cassandra
Korea	Shot Canada	40:05	40:10	40:19	Scrimmage 1 April 29 2026	Florinda	5	Opponent Save	2	Player 1
Korea	Shot Opponent	40:14	40:19	40:33	Scrimmage 1 April 29 2026	Ahmad	2	Canada Save	2	Elena
Korea	Shot Canada	40:29	40:34	40:41	Scrimmage 1 April 29 2026	Elena	2	Opponent Save	4	Player 1
Korea	Shot Opponent	40:36	40:41	40:51	Scrimmage 1 April 29 2026	Away Player 9	5	Canada Save	4	Florinda
Korea	Shot Canada	40:46	40:51	40:56	Scrimmage 1 April 29 2026	Florinda	4	Opponent Save	3	Player 1
Korea	Shot Opponent	40:52	40:57	41:03	Scrimmage 1 April 29 2026	Ahmad	4	Canada Ball Control Save	1.5	Elena
